year,leaid,lea_name,state_location,city_location,agency_type,enrollment,agency_level,lowest_grade_offered,highest_grade_offered,number_of_schools,boundary_change_indicator,read_test_num_valid,read_test_pct_prof_midpt,math_test_num_valid,math_test_pct_prof_midpt,cohort_num,grad_rate_midpt,exp_total,exp_current_elsec_total,exp_tech_equipment,exp_tech_supplies_services
2019,5400030,BARBOUR COUNTY BOARD OF EDUCATION,WV,PHILIPPI,Regular local school district,2266,Other,Pre-K,12,7,No change; operational,,,,,156,97,,,,
2019,5400060,BERKELEY COUNTY SCHOOLS,WV,MARTINSBURG,Regular local school district,19700,Other,Pre-K,12,33,No change; operational,,,,,1377,95,,,,
2019,5400090,BOONE COUNTY  SCHOOLS,WV,MADISON,Regular local school district,3674,Other,Pre-K,12,13,No change; operational,,,,,279,92,,,,
2019,5400120,BRAXTON COUNTY SCHOOLS,WV,SUTTON,Regular local school district,1935,Other,Pre-K,12,8,No change; operational,,,,,141,97,,,,
2019,5400150,BROOKE COUNTY SCHOOLS,WV,WELLSBURG,Regular local school district,2691,Other,Pre-K,12,7,No change; operational,,,,,193,97,,,,
2019,5400180,CABELL COUNTY SCHOOLS,WV,HUNTINGTON,Regular local school district,12189,Other,Pre-K,12,26,No change; operational,,,,,869,90,,,,
2019,5400210,CALHOUN COUNTY SCHOOLS,WV,MT. ZION,Regular local school district,937,Other,Pre-K,12,4,No change; operational,,,,,93,97,,,,
2019,5400240,CLAY COUNTY SCHOOLS,WV,CLAY,Regular local school district,1813,Other,Pre-K,12,6,No change; operational,,,,,109,97,,,,
2019,5400270,DODDRIDGE COUNTY SCHOOLS,WV,WEST UNION,Regular local school district,1121,Other,Pre-K,12,4,No change; operational,,,,,78,97,,,,
2019,5400058,Eastern Panhandle Instructional Cooperative,WV,Martinsburg,Regional education service agency,,Missing/not reported,,,0,New,,,,,,,,,,
2019,5400300,FAYETTE COUNTY SCHOOLS,WV,FAYETTEVILLE,Regular local school district,6064,Other,Pre-K,12,21,No change; operational,,,,,444,90,,,,
2019,5400330,GILMER COUNTY SCHOOLS,WV,GLENVILLE,Regular local school district,806,Other,Pre-K,12,2,No change; operational,,,,,52,95,,,,
2019,5400360,GRANT COUNTY SCHOOLS,WV,PETERSBURG,Regular local school district,1619,Other,Pre-K,12,5,No change; operational,,,,,115,92,,,,
2019,5400390,GREENBRIER COUNTY SCHOOLS,WV,LEWISBURG,Regular local school district,4807,Other,Pre-K,12,14,No change; operational,,,,,348,95,,,,
2019,5400420,HAMPSHIRE COUNTY SCHOOLS,WV,ROMNEY,Regular local school district,2968,Other,Pre-K,12,9,No change; operational,,,,,234,86,,,,
2019,5400450,HANCOCK COUNTY SCHOOLS,WV,NEW CUMBERLAND,Regular local school district,3985,Other,Pre-K,12,9,No change; operational,,,,,297,95,,,,
2019,5400480,HARDY COUNTY SCHOOLS,WV,MOOREFIELD,Regular local school district,2272,Other,Pre-K,12,6,No change; operational,,,,,146,97,,,,
2019,5400510,HARRISON COUNTY SCHOOLS,WV,CLARKSBURG,Regular local school district,10593,Other,Pre-K,12,28,No change; operational,,,,,679,98,,,,
2019,5400511,INSTITUTIONAL EDUCATIONAL PROGRAMS,WV,CHARLESTON,State-operated agency,,Other,Pre-K,12,22,No change; operational,,,,,,,,,,
2019,5400540,JACKSON COUNTY SCHOOLS,WV,RIPLEY,Regular local school district,4489,Other,Pre-K,12,13,No change; operational,,,,,320,92,,,,
2019,5400570,JEFFERSON COUNTY SCHOOLS,WV,CHARLES TOWN,Regular local school district,8954,Other,Pre-K,12,16,No change; operational,,,,,678,91,,,,
2019,5400600,KANAWHA COUNTY SCHOOLS,WV,CHARLESTON,Regular local school district,25429,Other,Pre-K,12,69,No change; operational,,,,,1930,88,,,,
2019,5400630,LEWIS COUNTY SCHOOLS,WV,WESTON,Regular local school district,2578,Other,Pre-K,12,6,No change; operational,,,,,168,87,,,,
2019,5400660,LINCOLN COUNTY SCHOOLS,WV,HAMLIN,Regular local school district,3312,Other,Pre-K,12,8,No change; operational,,,,,211,92,,,,
2019,5400690,LOGAN COUNTY SCHOOLS,WV,WEST LOGAN  WV,Regular local school district,5507,Other,Pre-K,12,18,No change; operational,,,,,454,88,,,,
2019,5400720,MARION COUNTY SCHOOLS,WV,FAIRMONT,Regular local school district,7965,Other,Pre-K,12,22,No change; operational,,,,,550,97,,,,
2019,5400750,MARSHALL COUNTY SCHOOLS,WV,MOUNDSVILLE,Regular local school district,4460,Other,Pre-K,12,14,No change; operational,,,,,315,97,,,,
2019,5400780,MASON COUNTY SCHOOLS,WV,POINT PLEASANT,Regular local school district,3935,Other,Pre-K,12,12,No change; operational,,,,,280,94,,,,
2019,5400810,MCDOWELL COUNTY SCHOOLS,WV,WELCH,Regular local school district,2901,Other,Pre-K,12,11,No change; operational,,,,,211,82,,,,
2019,5400840,MERCER COUNTY SCHOOLS,WV,PRINCETON,Regular local school district,8785,Other,Pre-K,12,26,No change; operational,,,,,629,92,,,,
2019,5400870,MINERAL COUNTY SCHOOLS,WV,KEYSER,Regular local school district,4094,Other,Pre-K,12,14,No change; operational,,,,,292,96,,,,
2019,5400900,MINGO COUNTY SCHOOLS,WV,WILLIAMSON,Regular local school district,4130,Other,Pre-K,12,10,No change; operational,,,,,241,94,,,,
2019,5400930,MONONGALIA COUNTY SCHOOLS,WV,MORGANTOWN,Regular local school district,11739,Other,Pre-K,12,19,No change; operational,,,,,799,92,,,,
2019,5400960,MONROE COUNTY SCHOOLS,WV,UNION,Regular local school district,1702,Other,Pre-K,12,5,No change; operational,,,,,127,97,,,,
2019,5400990,MORGAN COUNTY SCHOOLS,WV,BERKELEY SPRINGS,Regular local school district,2245,Other,Pre-K,12,7,No change; operational,,,,,174,87,,,,
2019,5400061,Mountain State Educational Services Cooperative,WV,Dunbar,Regional education service agency,,Missing/not reported,,,0,New,,,,,,,,,,
2019,5401020,NICHOLAS COUNTY SCHOOLS,WV,SUMMERSVILLE,Regular local school district,3634,Other,Pre-K,12,14,No change; operational,,,,,253,96,,,,
2019,5401050,OHIO COUNTY SCHOOLS,WV,WHEELING,Regular local school district,5269,Other,Pre-K,12,13,No change; operational,,,,,356,98,,,,
2019,5401080,PENDLETON COUNTY SCHOOLS,WV,FRANKLIN,Regular local school district,864,Other,Pre-K,12,4,No change; operational,,,,,66,97,,,,
2019,5401110,PLEASANTS COUNTY SCHOOLS,WV,ST. MARYS,Regular local school district,1094,Other,Pre-K,12,5,No change; operational,,,,,88,97,,,,
2019,5401140,POCAHONTAS COUNTY SCHOOLS,WV,BUCKEYE,Regular local school district,982,Other,Pre-K,12,5,No change; operational,,,,,80,87,,,,
2019,5401170,PRESTON COUNTY SCHOOLS,WV,KINGWOOD,Regular local school district,4384,Other,Pre-K,12,10,No change; operational,,,,,307,90,,,,
2019,5401200,PUTNAM COUNTY SCHOOLS,WV,WINFIELD,Regular local school district,9482,Other,Pre-K,12,23,No change; operational,,,,,730,98,,,,
2019,5401230,RALEIGH COUNTY SCHOOLS,WV,BECKLEY,Regular local school district,11461,Other,Pre-K,12,27,No change; operational,,,,,792,88,,,,
2019,5401260,RANDOLPH COUNTY SCHOOLS,WV,ELKINS,Regular local school district,3870,Other,Pre-K,12,14,No change; operational,,,,,265,95,,,,
2019,5401290,RITCHIE COUNTY SCHOOLS,WV,HARRISVILLE,Regular local school district,1341,Other,Pre-K,12,5,No change; operational,,,,,104,87,,,,
2019,5401320,ROANE COUNTY SCHOOLS,WV,SPENCER,Regular local school district,2013,Other,Pre-K,12,5,No change; operational,,,,,135,97,,,,
2019,5400059,Southern Educational Services Cooperative,WV,Beckley,Regional education service agency,,Missing/not reported,,,0,New,,,,,,,,,,
2019,5401350,SUMMERS COUNTY SCHOOLS,WV,HINTON,Regular local school district,1451,Other,Pre-K,12,5,No change; operational,,,,,105,92,,,,
2019,5401380,TAYLOR COUNTY SCHOOLS,WV,GRAFTON,Regular local school district,2414,Other,Pre-K,12,5,No change; operational,,,,,156,92,,,,
2019,5401410,TUCKER COUNTY SCHOOLS,WV,PARSONS,Regular local school district,976,Other,Pre-K,12,3,No change; operational,,,,,67,87,,,,
2019,5401440,TYLER COUNTY SCHOOLS,WV,MIDDLEBOURNE,Regular local school district,1237,Other,Pre-K,12,4,No change; operational,,,,,93,92,,,,
2019,5401470,UPSHUR COUNTY SCHOOLS,WV,BUCKHANNON,Regular local school district,3825,Other,Pre-K,12,10,No change; operational,,,,,283,93,,,,
2019,5401500,WAYNE COUNTY SCHOOLS,WV,WAYNE,Regular local school district,6702,Other,Pre-K,12,18,No change; operational,,,,,552,85,,,,
2019,5401530,WEBSTER COUNTY SCHOOLS,WV,WEBSTER SPRINGS,Regular local school district,1276,Other,Pre-K,12,4,No change; operational,,,,,85,97,,,,
2019,5401560,WETZEL COUNTY SCHOOLS,WV,NEW MARTINSVILLE,Regular local school district,2459,Other,Pre-K,12,9,No change; operational,,,,,202,94,,,,
2019,5401590,WIRT COUNTY SCHOOLS,WV,ELIZABETH,Regular local school district,997,Other,Pre-K,12,3,No change; operational,,,,,79,87,,,,
2019,5401620,WOOD COUNTY SCHOOLS,WV,PARKERSBURG,Regular local school district,12238,Other,Pre-K,12,29,No change; operational,,,,,884,89,,,,
2019,5401621,WV SCHOOLS FOR THE DEAF AND THE BLIND,WV,ROMNEY,State-operated agency,,Other,Pre-K,12,2,No change; operational,,,,,,,,,,
2019,5401650,WYOMING COUNTY SCHOOLS,WV,PINEVILLE,Regular local school district,3852,Other,Pre-K,12,14,No change; operational,,,,,275,94,,,,
2018,5400061,,,,,,,,,,,,,,,,,9744000,4408000,23000,750000
2018,5400059,,,,,,,,,,,,,,,,,5090000,2997000,0,143000
2018,5400058,,,,,,,,,,,,,,,,,11501000,10156000,6000,245000
2018,5400030,BARBOUR COUNTY SCHOOLS,WV,PHILIPPI,Regular local school district,2346,Other,Pre-K,12,7,No change; operational,1151,36,1151,32,147,97,25233000,24185000,659000,462000
2018,5400060,BERKELEY COUNTY SCHOOLS,WV,MARTINSBURG,Regular local school district,19530,Other,Pre-K,12,33,No change; operational,9793,44,9790,33,1337,96,225888000,218968000,761000,2110000
2018,5400090,BOONE COUNTY  SCHOOLS,WV,MADISON,Regular local school district,3840,Other,Pre-K,12,13,No change; operational,1916,43,1914,36,311,90,47886000,46698000,0,1232000
2018,5400120,BRAXTON COUNTY SCHOOLS,WV,SUTTON,Regular local school district,2013,Other,Pre-K,12,8,No change; operational,964,36,966,26,120,97,23310000,22458000,0,677000
2018,5400150,BROOKE COUNTY SCHOOLS,WV,WELLSBURG,Regular local school district,2833,Other,Pre-K,12,7,No change; operational,1443,34,1442,32,201,96,39813000,37752000,0,949000
2018,5400180,CABELL COUNTY SCHOOLS,WV,HUNTINGTON,Regular local school district,12517,Other,Pre-K,12,26,No change; operational,6093,48,6090,38,917,89,159834000,151383000,9000,5162000
2018,5400210,CALHOUN COUNTY SCHOOLS,WV,MT. ZION,Regular local school district,971,Other,Pre-K,12,4,No change; operational,470,46,470,31,80,97,12539000,11904000,0,160000
2018,5400240,CLAY COUNTY SCHOOLS,WV,CLAY,Regular local school district,1880,Other,Pre-K,12,6,No change; operational,919,46,918,35,129,87,24043000,23698000,7000,179000
2018,5400270,DODDRIDGE COUNTY SCHOOLS,WV,WEST UNION,Regular local school district,1124,Other,Pre-K,12,4,No change; operational,582,48,582,41,72,97,34044000,22613000,172000,1394000
2018,5400300,FAYETTE COUNTY SCHOOLS,WV,FAYETTEVILLE,Regular local school district,6268,Other,Pre-K,12,17,No change; operational,3044,35,3039,29,508,88,102190000,74070000,166000,2504000
2018,5400330,GILMER COUNTY SCHOOLS,WV,GLENVILLE,Regular local school district,814,Other,Pre-K,12,2,No change; operational,424,38,424,33,62,92,11343000,11126000,35000,272000
2018,5400360,GRANT COUNTY SCHOOLS,WV,PETERSBURG,Regular local school district,1653,Other,Pre-K,12,5,No change; operational,792,51,792,38,123,92,19553000,16833000,11000,314000
2018,5400390,GREENBRIER COUNTY SCHOOLS,WV,LEWISBURG,Regular local school district,4868,Other,Pre-K,12,14,No change; operational,2412,47,2409,38,376,92,66968000,60029000,394000,635000
2018,5400420,HAMPSHIRE COUNTY SCHOOLS,WV,ROMNEY,Regular local school district,3024,Other,Pre-K,12,9,No change; operational,1537,46,1538,41,236,85,34213000,33351000,0,328000
2018,5400450,HANCOCK COUNTY SCHOOLS,WV,NEW CUMBERLAND,Regular local school district,4041,Other,Pre-K,12,9,No change; operational,2005,48,2004,48,291,97,50954000,47077000,0,886000
2018,5400480,HARDY COUNTY SCHOOLS,WV,MOOREFIELD,Regular local school district,2370,Other,Pre-K,12,6,No change; operational,1170,42,1168,31,161,92,24739000,23936000,0,455000
2018,5400510,HARRISON COUNTY SCHOOLS,WV,CLARKSBURG,Regular local school district,10805,Other,Pre-K,12,28,No change; operational,5358,46,5354,39,763,93,140038000,130960000,0,4307000
2018,5400511,INSTITUTIONAL EDUCATIONAL PROGRAMS,WV,CHARLESTON,State-operated agency,,Other,Pre-K,12,22,No change; operational,218,14,219,5,,,16930000,16727000,203000,331000
2018,5400540,JACKSON COUNTY SCHOOLS,WV,RIPLEY,Regular local school district,4589,Other,Pre-K,12,13,No change; operational,2298,51,2277,44,315,92,61361000,53946000,0,1185000
2018,5400570,JEFFERSON COUNTY SCHOOLS,WV,CHARLES TOWN,Regular local school district,9055,Other,Pre-K,12,16,No change; operational,4650,53,4643,42,675,90,111458000,107020000,10000,2568000
2018,5400600,KANAWHA COUNTY SCHOOLS,WV,CHARLESTON,Regular local school district,25764,Other,Pre-K,12,69,No change; operational,12593,47,12595,42,1918,86,328584000,308215000,64000,10301000
2018,5400630,LEWIS COUNTY SCHOOLS,WV,WESTON,Regular local school district,2581,Other,Pre-K,12,6,No change; operational,1299,35,1299,31,169,92,29396000,28580000,0,769000
2018,5400660,LINCOLN COUNTY SCHOOLS,WV,HAMLIN,Regular local school district,3413,Other,Pre-K,12,8,No change; operational,1718,38,1721,27,188,92,43915000,41748000,22000,429000
2018,5400690,LOGAN COUNTY SCHOOLS,WV,WEST LOGAN  WV,Regular local school district,5644,Other,Pre-K,12,18,No change; operational,2682,41,2682,33,444,91,73256000,68543000,0,804000
2018,5400720,MARION COUNTY SCHOOLS,WV,MANNINGTON,Regular local school district,7959,Other,Pre-K,12,22,No change; operational,3922,51,3920,44,560,91,101522000,98866000,115000,3787000
2018,5400750,MARSHALL COUNTY SCHOOLS,WV,MOUNDSVILLE,Regular local school district,4647,Other,Pre-K,12,14,No change; operational,2277,40,2279,34,329,94,78955000,68078000,318000,1271000
2018,5400780,MASON COUNTY SCHOOLS,WV,POINT PLEASANT,Regular local school district,4084,Other,Pre-K,12,12,No change; operational,2022,43,2020,33,307,93,50207000,48566000,34000,1223000
2018,5400810,MCDOWELL COUNTY SCHOOLS,WV,WELCH,Regular local school district,3063,Other,Pre-K,12,11,No change; operational,1423,34,1423,22,222,87,41563000,40032000,69000,757000
2018,5400840,MERCER COUNTY SCHOOLS,WV,PRINCETON,Regular local school district,9004,Other,Pre-K,12,26,No change; operational,4412,43,4413,39,608,90,113055000,101038000,83000,1094000
2018,5400870,MINERAL COUNTY SCHOOLS,WV,KEYSER,Regular local school district,4165,Other,Pre-K,12,14,No change; operational,2017,41,2016,38,282,97,53617000,48353000,432000,628000
2018,5400900,MINGO COUNTY SCHOOLS,WV,WILLIAMSON,Regular local school district,4212,Other,Pre-K,12,10,No change; operational,2055,42,2053,35,222,98,51114000,47832000,0,894000
2018,5400930,MONONGALIA COUNTY SCHOOLS,WV,MORGANTOWN,Regular local school district,11679,Other,Pre-K,12,19,No change; operational,5551,55,5552,50,832,91,156929000,140549000,1005000,2199000
2018,5400960,MONROE COUNTY SCHOOLS,WV,UNION,Regular local school district,1762,Other,Pre-K,12,5,No change; operational,889,43,889,36,126,97,24436000,22625000,5000,390000
2018,5400990,MORGAN COUNTY SCHOOLS,WV,BERKELEY SPRINGS,Regular local school district,2329,Other,Pre-K,12,7,No change; operational,1147,37,1145,29,186,87,31654000,26609000,36000,860000
2018,5401020,NICHOLAS COUNTY SCHOOLS,WV,SUMMERSVILLE,Regular local school district,3735,Other,Pre-K,12,14,No change; operational,1864,41,1863,35,274,94,44061000,43262000,7000,768000
2018,5401050,OHIO COUNTY SCHOOLS,WV,WHEELING,Regular local school district,5278,Other,Pre-K,12,13,No change; operational,2618,55,2618,43,368,98,82750000,72920000,3000,2067000
2018,5401080,PENDLETON COUNTY SCHOOLS,WV,FRANKLIN,Regular local school district,931,Other,Pre-K,12,4,No change; operational,453,45,453,38,60,95,13969000,13345000,0,118000
2018,5401110,PLEASANTS COUNTY SCHOOLS,WV,ST. MARYS,Regular local school district,1102,Other,Pre-K,12,5,No change; operational,560,46,560,39,89,97,17295000,15864000,0,429000
2018,5401140,POCAHONTAS COUNTY SCHOOLS,WV,BUCKEYE,Regular local school district,1014,Other,Pre-K,12,5,No change; operational,491,40,491,35,80,92,16320000,15103000,95000,273000
2018,5401170,PRESTON COUNTY SCHOOLS,WV,KINGWOOD,Regular local school district,4415,Other,Pre-K,12,10,No change; operational,2230,39,2231,30,273,91,47335000,44842000,0,1065000
2018,5401200,PUTNAM COUNTY SCHOOLS,WV,WINFIELD,Regular local school district,9543,Other,Pre-K,12,23,No change; operational,4788,56,4791,53,725,97,114884000,111156000,35000,1429000
2018,5401230,RALEIGH COUNTY SCHOOLS,WV,BECKLEY,Regular local school district,11701,Other,Pre-K,12,27,No change; operational,5921,45,5919,37,781,87,143044000,134350000,0,2066000
2018,5401260,RANDOLPH COUNTY SCHOOLS,WV,ELKINS,Regular local school district,3955,Other,Pre-K,12,14,No change; operational,1931,37,1931,29,287,97,49809000,42234000,0,769000
2018,5401290,RITCHIE COUNTY SCHOOLS,WV,HARRISVILLE,Regular local school district,1357,Other,Pre-K,12,5,No change; operational,664,46,665,42,94,92,20004000,17770000,201000,421000
2018,5401320,ROANE COUNTY SCHOOLS,WV,SPENCER,Regular local school district,2093,Other,Pre-K,12,5,No change; operational,1033,38,1033,25,128,92,23446000,22663000,0,344000
2018,5401350,SUMMERS COUNTY SCHOOLS,WV,HINTON,Regular local school district,1510,Other,Pre-K,12,5,No change; operational,770,36,770,26,106,92,16349000,15895000,0,165000
2018,5401380,TAYLOR COUNTY SCHOOLS,WV,GRAFTON,Regular local school district,2435,Other,Pre-K,12,5,No change; operational,1181,47,1179,41,138,92,28240000,27171000,0,764000
2018,5401410,TUCKER COUNTY SCHOOLS,WV,PARSONS,Regular local school district,1013,Other,Pre-K,12,3,No change; operational,476,42,475,31,72,92,13380000,12242000,0,385000
2018,5401440,TYLER COUNTY SCHOOLS,WV,MIDDLEBOURNE,Regular local school district,1268,Other,Pre-K,12,4,No change; operational,632,47,631,42,87,92,23948000,19769000,0,1337000
2018,5401470,UPSHUR COUNTY SCHOOLS,WV,BUCKHANNON,Regular local school district,3807,Other,Pre-K,12,10,No change; operational,1870,37,1870,27,269,90,42432000,41120000,0,776000
2018,5401500,WAYNE COUNTY SCHOOLS,WV,WAYNE,Regular local school district,6766,Other,Pre-K,12,18,No change; operational,3345,48,3343,40,525,86,82702000,76830000,8000,735000
2018,5401530,WEBSTER COUNTY SCHOOLS,WV,WEBSTER SPRINGS,Regular local school district,1315,Other,Pre-K,12,4,No change; operational,656,34,656,24,110,92,15827000,15552000,0,622000
2018,5401560,WETZEL COUNTY SCHOOLS,WV,NEW MARTINSVILLE,Regular local school district,2511,Other,Pre-K,12,9,No change; operational,1213,41,1213,36,186,92,45595000,43765000,0,977000
2018,5401590,WIRT COUNTY SCHOOLS,WV,ELIZABETH,Regular local school district,1010,Other,Pre-K,12,3,No change; operational,530,38,530,37,52,84,13957000,12712000,0,244000
2018,5401620,WOOD COUNTY SCHOOLS,WV,PARKERSBURG,Regular local school district,12423,Other,Pre-K,12,29,No change; operational,6088,52,6085,48,835,91,168640000,149089000,32000,5330000
2018,5401621,WV SCHOOLS FOR THE DEAF AND THE BLIND,WV,ROMNEY,State-operated agency,,Other,Pre-K,12,2,No change; operational,58,15,58,5,,,16942000,15304000,212000,74000
2018,5401650,WYOMING COUNTY SCHOOLS,WV,PINEVILLE,Regular local school district,3947,Other,Pre-K,12,14,No change; operational,1896,46,1896,31,275,93,49897000,45495000,778000,617000
2017,5400030,BARBOUR COUNTY SCHOOLS,WV,PHILIPPI,Regular local school district,2317,Other,Pre-K,12,7,No change; operational,1165,34,1164,31,133,92,26044000,23484000,86000,600000
2017,5400060,BERKELEY COUNTY SCHOOLS,WV,MARTINSBURG,Regular local school district,19320,Other,Pre-K,12,32,No change; operational,9658,45,9666,33,1306,94,225104000,205858000,1089000,2436000
2017,5400090,BOONE COUNTY  SCHOOLS,WV,MADISON,Regular local school district,4010,Other,Pre-K,12,13,No change; operational,2005,41,2006,32,299,88,41734000,40505000,7000,556000
2017,5400120,BRAXTON COUNTY SCHOOLS,WV,SUTTON,Regular local school district,2022,Other,Pre-K,12,8,No change; operational,986,40,986,30,141,87,22247000,21560000,0,474000
